наименование,цена
Встраиваемый холодильник Hotpoint-Ariston HBT 18 [254 л; нижняя морозильная камера; разморозка - No Frost; дисплей; 54 см x 177.5 см x 54.5 см],98999
Встраиваемый холодильник без морозильника Liebherr IRE 5100 [307 л; дисплей; 55.9 см x 177 см x 54.6 см],99499
Встраиваемый холодильник Haier HRF310WBRU [310 л; нижняя морозильная камера; разморозка - No Frost; дисплей; 54 см x 194 см x 55.5 см],99999
Встраиваемый холодильник LG GR-SN266LLP [250 л; нижняя морозильная камера; разморозка - No Frost; 55.4 см x 177.5 см x 56.5 см],100999
Встраиваемый холодильник LG GR-N266LLP [250 л; нижняя морозильная камера; разморозка - No Frost; 55.4 см x 177.5 см x 56.5 см],101999
Встраиваемый холодильник Beko BCNA306E2S [284 л; нижняя морозильная камера; разморозка - No Frost; дисплей; 54 см x 193.5 см x 54.5 см],104999
Встраиваемый холодильник без морозильника Haier HCL260NFRU [260 л; дисплей; 54 см x 177 см x 54.5 см],105999
Встраиваемый холодильник Haier HBW5519ERU [281 л; нижняя морозильная камера; разморозка - No Frost; дисплей; 54 см x 193.5 см x 54.5 см],109999
Встраиваемый холодильник Haier BCFT629TWRU [228 л; нижняя морозильная камера; разморозка - No Frost; дисплей; 55.5 см x 178 см x 54 см],112999
Встраиваемый холодильник Electrolux LNT2LF18S [267 л; нижняя морозильная камера; разморозка - ручное; 54.8 см x 177.2 см x 54.9 см],114499
Встраиваемый холодильник Hotpoint HBT 20I [284 л; нижняя морозильная камера; разморозка - No Frost; дисплей; 54 см x 193.5 см x 54.5 см],114999
Встраиваемый холодильник Samsung BRB30600FWW/EF [298 л; разморозка - No Frost; дисплей; 54 см x 193.5 см x 55 см],117499
Встраиваемый холодильник Samsung BRB30602FWW [298 л; нижняя морозильная камера; разморозка - No Frost; дисплей; 54 см x 193.5 см x 55 см],117499
Встраиваемый холодильник Electrolux LNT7TF18S [253 л; нижняя морозильная камера; разморозка - No Frost; дисплей; 54 см x 177.2 см x 54.9 см],120999
Встраиваемый холодильник Electrolux ENT6TF18S [254 л; нижняя морозильная камера; разморозка - No Frost; 54.8 см x 177.2 см x 54.9 см],123999
Встраиваемый холодильник без морозильника Liebherr IRE 4100 [201 л; дисплей; 55.9 см x 121.3 см x 54.6 см],124999
Встраиваемый холодильник Haier HRF305NFRU [286 л; нижняя морозильная камера; разморозка - No Frost; дисплей; 54 см x 193.7 см x 54.5 см],126999
Встраиваемый холодильник Liebherr ICBNSe 5123 [244 л; нижняя морозильная камера; разморозка - No Frost; дисплей; 54.1 см x 177 см x 54.5 см],126999
Встраиваемый холодильник Electrolux ENT7TF18S [253 л; нижняя морозильная камера; разморозка - No Frost; дисплей; 54 см x 177.2 см x 54.9 см],129499
Встраиваемый холодильник Samsung BRB30603EWW [297 л; нижняя морозильная камера; разморозка - No Frost; дисплей; 54 см x 193.5 см x 55 см],129499
Встраиваемый холодильник Samsung BRB307054WW/WT [294 л; нижняя морозильная камера; разморозка - No Frost; дисплей; 54 см x 193.5 см x 55 см],134499
Встраиваемый холодильник Liebherr ICBD 5122-20 001 [255 л; нижняя морозильная камера; разморозка - ручное; дисплей; 55.9 см x 177 см x 54.6 см],135999
Встраиваемый холодильник Liebherr ICNSe 5123 [251 л; нижняя морозильная камера; разморозка - No Frost; дисплей; 54.1 см x 177 см x 54.5 см],135999
Встраиваемый холодильник Samsung BRB26715FWW/EF [267 л; нижняя морозильная камера; разморозка - No Frost; дисплей; 54 см x 177.5 см x 55 см],136999
Встраиваемый холодильник Samsung BRB30705EWW [297 л; нижняя морозильная камера; разморозка - No Frost; дисплей; 54 см x 193.5 см x 55 см],136999
Встраиваемый холодильник Samsung BRB30705DWW [297 л; нижняя морозильная камера; разморозка - No Frost; дисплей; 54 см x 193.5 см x 55 см],138999
Встраиваемый холодильник Samsung BRB30715EWW/EF [298 л; нижняя морозильная камера; разморозка - No Frost; дисплей; 54 см x 193.5 см x 55 см],139499
Встраиваемый холодильник Samsung BRB26602FWW/EF [267 л; нижняя морозильная камера; разморозка - No Frost; 54 см x 177.5 см x 55 см],139999
Встраиваемый холодильник Samsung BRB26703EWW/EF [267 л; нижняя морозильная камера; разморозка - No Frost; 54 см x 177.5 см x 55 см],139999
Встраиваемый холодильник Samsung BRB26713EWW/EF [267 л; нижняя морозильная камера; разморозка - No Frost; 54 см x 177.5 см x 55 см],139999
Встраиваемый холодильник Liebherr IRBSe 5121 [273 л; верхняя морозильная камера; дисплей; 54 см x 177 см x 54.5 см],140999
Встраиваемый холодильник Liebherr ICNe 5123 [251 л; нижняя морозильная камера; разморозка - No Frost; дисплей; 55.9 см x 177 см x 54.6 см],145999
Встраиваемый холодильник без морозильника Liebherr IRBSe 5120 [291 л; дисплей; 54 см x 177 см x 54.5 см],147999
Встраиваемый холодильник Electrolux ENS6TE19S [273 л; нижняя морозильная камера; разморозка - No Frost; дисплей; 54 см x 188.4 см x 54.9 см],150999
Встраиваемый холодильник без морозильника Liebherr IRBSe 5120 [291 л; дисплей; 54 см x 177 см x 54.5 см],153999
Встраиваемый холодильник Liebherr ICND 5123-20 001 [251 л; нижняя морозильная камера; разморозка - No Frost; дисплей; 55.9 см x 177 см x 54.6 см],161999
Встраиваемый холодильник Beko BCNE400I35ZS [370 л; нижняя морозильная камера; разморозка - No Frost; дисплей; 69 см x 194 см x 55 см],163999
Встраиваемый холодильник Liebherr IRDE 5121-20 001 [284 л; верхняя морозильная камера; разморозка - ручное; дисплей; 55.9 см x 177 см x 54.6 см],164999
Встраиваемый холодильник Liebherr IRBE 5121-20 001 [273 л; верхняя морозильная камера; разморозка - ручное; дисплей; 55.9 см x 177 см x 54.6 см],170999
Встраиваемый холодильник без морозильника Liebherr IRDE 5120-20 001 [307 л; дисплей; 55.9 см x 177 см x 54.6 см],170999
Встраиваемый холодильник без морозильника Liebherr IRBd 5150 Prime [291 л; дисплей; 55.9 см x 177 см x 54.6 см],193999
